image,cell_id,cy,cx,area_px,circularity,eccentricity,solidity,process_count
HET_1,1074,1807.8,2599.6,490,0.353,0.854,0.604,2
HET_1,1075,1797.8,680.1,252,0.554,0.892,0.810,0
HET_1,1076,1809.5,1994.7,719,0.789,0.664,0.940,0
HET_1,1077,1801.2,654.3,185,0.814,0.705,0.920,1
HET_1,1078,1813.1,898.1,311,0.649,0.827,0.823,1
HET_1,1079,1814.3,662.7,411,0.824,0.571,0.924,0
HET_1,1080,1820.9,1747.0,574,0.387,0.864,0.653,1
HET_1,1081,1812.2,580.2,515,0.542,0.916,0.833,1
HET_1,1082,1818.7,1218.0,514,0.326,0.890,0.616,1
HET_1,1083,1813.8,1717.2,303,0.873,0.650,0.938,1
HET_1,1084,1814.2,203.3,137,0.974,0.626,0.965,1
HET_1,1085,1820.0,2314.5,686,0.410,0.922,0.681,1
HET_1,1086,1810.4,2681.6,71,1.038,0.674,0.947,0
HET_1,1087,1817.8,239.3,239,0.818,0.612,0.916,0
HET_1,1088,1819.0,367.1,317,0.683,0.799,0.839,1
HET_1,1089,1823.3,320.2,794,0.421,0.959,0.787,1
HET_1,1090,1833.3,2749.2,541,0.700,0.693,0.877,0
HET_1,1091,1821.9,2537.8,204,0.886,0.735,0.940,0
HET_1,1092,1830.3,933.4,485,0.759,0.787,0.922,0
HET_1,1093,1824.5,141.0,210,0.635,0.906,0.840,0
HET_1,1094,1826.9,1253.0,301,0.712,0.888,0.883,0
HET_1,1095,1829.0,2383.6,287,0.896,0.428,0.941,0
HET_1,1096,1852.4,111.7,633,0.366,0.951,0.737,1
HET_1,1097,1837.6,246.8,554,0.602,0.880,0.817,1
HET_1,1098,1833.3,1042.7,350,0.556,0.936,0.816,1
HET_1,1099,1827.9,1799.4,372,0.692,0.904,0.932,0
HET_1,1100,1827.2,2165.4,179,0.886,0.663,0.927,0
HET_1,1101,1839.2,397.6,751,0.367,0.758,0.627,0
HET_1,1102,1839.6,601.3,493,0.400,0.932,0.662,0
HET_1,1103,1827.5,744.7,210,0.668,0.934,0.913,0
HET_1,1104,1832.0,1719.4,272,0.812,0.755,0.941,0
HET_1,1105,1839.2,504.2,353,0.451,0.946,0.761,1
HET_1,1106,1831.0,907.8,181,0.697,0.884,0.862,0
HET_1,1107,1840.3,1786.0,317,0.713,0.850,0.903,1
HET_1,1108,1844.7,755.4,414,0.551,0.953,0.821,0
HET_1,1109,1843.8,2544.8,478,0.578,0.528,0.837,3
HET_1,1110,1849.1,289.1,781,0.582,0.903,0.861,0
HET_1,1111,1849.1,469.0,640,0.799,0.425,0.941,0
HET_1,1112,1853.9,2358.3,413,0.615,0.910,0.875,0
HET_1,1113,1853.7,2484.7,282,0.821,0.837,0.940,1
HET_1,1114,1852.8,719.7,185,0.638,0.930,0.873,0
HET_1,1115,1856.2,1716.8,228,0.797,0.769,0.916,2
HET_1,1116,1881.4,867.1,1029,0.634,0.907,0.901,0
HET_1,1117,1873.1,1692.3,1349,0.520,0.763,0.866,0
HET_1,1118,1870.7,2249.2,420,0.730,0.808,0.899,1
HET_1,1119,1882.7,1410.9,739,0.289,0.946,0.578,1
HET_1,1120,1867.7,2052.2,293,0.597,0.928,0.875,1
HET_1,1121,1871.1,2130.5,205,0.761,0.846,0.903,2
HET_1,1122,1872.3,2027.9,245,0.726,0.827,0.888,2
HET_1,1123,1871.8,2792.4,234,0.948,0.583,0.955,1
HET_1,1124,1881.9,559.1,520,0.420,0.955,0.819,0
HET_1,1125,1894.2,2398.0,1517,0.725,0.648,0.918,0
HET_1,1126,1879.4,2562.9,323,0.540,0.928,0.790,1
HET_1,1127,1876.9,2720.3,193,0.849,0.836,0.937,0
HET_1,1128,1881.8,2756.4,259,0.715,0.895,0.893,1
HET_1,1129,1887.5,1199.0,551,0.355,0.840,0.700,3
HET_1,1130,1880.2,2181.0,285,0.830,0.760,0.934,0
HET_1,1131,1877.6,2420.5,126,0.848,0.804,0.926,0
HET_1,1132,1888.7,135.6,319,0.486,0.963,0.848,0
HET_1,1133,1886.0,2108.6,399,0.280,0.737,0.508,0
HET_1,1134,1894.6,2151.2,418,0.437,0.953,0.760,0
HET_1,1135,1889.5,2685.5,292,0.650,0.876,0.890,1
HET_1,1136,1888.0,1941.3,321,0.630,0.855,0.840,1
HET_1,1137,1891.0,2032.5,273,0.544,0.676,0.758,0
HET_1,1138,1901.6,781.9,574,0.447,0.958,0.769,0
HET_1,1139,1893.9,345.3,361,0.522,0.949,0.808,3
HET_1,1140,1889.1,2230.2,202,0.610,0.927,0.815,0
HET_1,1141,1893.9,2729.4,294,0.820,0.866,0.961,2
HET_1,1142,1900.3,2423.3,289,0.792,0.751,0.926,2
HET_1,1143,1904.2,565.4,252,0.795,0.822,0.926,1
HET_1,1144,1902.6,317.5,363,0.588,0.947,0.883,0
HET_1,1145,1911.2,2626.3,328,0.771,0.886,0.956,2
HET_1,1146,1916.2,170.4,624,0.477,0.920,0.768,1
HET_1,1147,1916.9,2452.5,706,0.766,0.782,0.929,0
HET_1,1148,1910.1,2536.8,360,0.814,0.705,0.952,0
HET_1,1149,1917.8,15.1,369,0.755,0.878,0.969,0
HET_1,1150,1911.5,2036.2,180,0.874,0.769,0.928,0
HET_1,1151,1922.6,1804.2,527,0.403,0.931,0.766,0
HET_1,1152,1913.8,1185.6,176,0.843,0.820,0.941,0
HET_1,1153,1920.8,2770.2,376,0.650,0.904,0.870,0
HET_1,1154,1924.6,683.7,341,0.608,0.840,0.818,0
HET_1,1155,1931.6,943.2,488,0.664,0.847,0.882,1
HET_1,1156,1938.2,639.2,758,0.346,0.951,0.646,0
HET_1,1157,1936.7,2716.4,352,0.339,0.983,0.694,0
HET_1,1158,1931.9,1015.9,454,0.435,0.952,0.719,4
HET_1,1159,1933.1,2676.9,297,0.698,0.905,0.917,1
HET_1,1160,1932.4,707.7,342,0.718,0.830,0.919,1
HET_1,1161,1934.9,1672.8,230,0.712,0.883,0.909,1
HET_1,1162,1943.1,2615.9,382,0.393,0.886,0.660,0
HET_1,1163,1943.1,2252.4,841,0.689,0.715,0.887,0
HET_1,1164,1940.0,2318.1,685,0.378,0.613,0.662,1
HET_1,1165,1945.5,2820.1,426,0.520,0.913,0.816,1
HET_1,1166,1943.1,1556.6,575,0.730,0.668,0.886,3
HET_1,1167,1945.0,1437.9,408,0.501,0.644,0.789,1
HET_1,1168,1965.7,346.4,861,0.434,0.927,0.703,2
HET_1,1169,1952.8,245.4,489,0.554,0.945,0.837,1
HET_1,1170,1940.9,1765.6,283,0.636,0.926,0.863,0
HET_1,1171,1948.5,2362.1,367,0.773,0.797,0.920,1
HET_1,1172,1948.2,490.9,594,0.456,0.944,0.724,1
HET_1,1173,1960.7,1615.6,1074,0.539,0.775,0.779,0
HET_1,1174,1957.8,191.2,246,0.601,0.935,0.854,0
HET_1,1175,1952.5,322.4,314,0.820,0.548,0.926,0
HET_1,1176,1953.8,2575.5,269,0.670,0.923,0.928,1
HET_1,1177,1967.9,421.6,945,0.325,0.843,0.596,0
HET_1,1178,1968.6,2233.6,1241,0.452,0.806,0.815,0
HET_1,1179,1962.1,2648.0,543,0.477,0.910,0.765,1
HET_1,1180,1952.0,2696.7,444,0.514,0.967,0.908,0
HET_1,1181,1954.2,1672.4,213,0.966,0.606,0.959,0
HET_1,1182,1969.6,2175.2,538,0.514,0.872,0.748,1
HET_1,1183,1962.7,2138.6,515,0.590,0.924,0.858,2
HET_1,1184,1964.2,2558.6,237,0.675,0.916,0.922,0
HET_1,1185,1969.9,1167.2,520,0.607,0.597,0.815,1
HET_1,1186,1969.7,2053.1,560,0.680,0.886,0.927,2
HET_1,1187,1967.1,1979.2,116,0.948,0.749,0.943,0
HET_1,1188,1977.6,314.6,653,0.667,0.652,0.856,0
HET_1,1189,1986.9,2089.7,551,0.368,0.981,0.849,1
HET_1,1190,1973.6,859.5,242,0.972,0.337,0.964,1
HET_1,1191,1983.0,2767.4,827,0.471,0.864,0.703,0
HET_1,1192,1974.9,2372.1,403,0.892,0.674,0.962,0
HET_1,1193,1977.3,2324.8,231,0.763,0.671,0.917,1
HET_1,1194,1974.4,2727.9,151,0.953,0.725,0.962,0
HET_1,1195,1979.8,726.9,378,0.563,0.824,0.786,1
HET_1,1196,1977.4,887.6,253,0.567,0.953,0.866,1
HET_1,1197,1981.3,2674.3,325,0.704,0.865,0.915,1
HET_1,1198,1980.0,2835.5,429,0.536,0.920,0.823,2
HET_1,1199,1980.1,1665.0,379,0.404,0.972,0.769,0
HET_1,1200,1987.9,1583.0,402,0.454,0.960,0.907,1
HET_1,1201,1978.4,2634.8,151,0.783,0.902,0.926,0
HET_1,1202,1995.6,776.9,473,0.770,0.633,0.933,1
HET_1,1203,1986.5,2024.4,456,0.473,0.931,0.734,0
HET_1,1204,1996.5,298.4,286,0.677,0.928,0.929,1
HET_1,1205,1995.0,1686.3,279,0.667,0.876,0.889,1
HET_1,1206,1996.3,1997.2,528,0.683,0.693,0.863,1
HET_1,1207,1992.1,624.8,243,0.685,0.866,0.890,0
HET_1,1208,1991.3,1974.6,130,0.875,0.848,0.942,0
HET_1,1209,1997.0,452.5,213,0.988,0.276,0.959,0
HET_1,1210,2008.2,476.6,421,0.488,0.913,0.781,2
HET_1,1211,1996.6,2516.6,307,0.695,0.806,0.860,1
HET_1,1212,1996.8,2717.1,255,0.682,0.874,0.847,1
HET_1,1213,2005.2,2335.1,584,0.442,0.959,0.823,0
HET_1,1214,2002.9,2658.3,163,0.766,0.870,0.911,0
HET_1,1215,2013.1,2813.9,561,0.527,0.836,0.779,0
HET_1,1216,2010.6,626.4,342,0.627,0.911,0.877,0
HET_1,1217,2011.4,2226.4,508,0.876,0.700,0.958,0
HET_1,1218,2005.8,2557.8,225,0.538,0.929,0.840,0
HET_1,1219,2007.7,2698.2,256,0.632,0.868,0.815,0
HET_1,1220,2013.1,197.4,276,0.894,0.669,0.948,1
HET_1,1221,2021.8,276.1,416,0.881,0.382,0.931,1
HET_1,1222,2030.0,2732.2,347,0.484,0.896,0.768,0
HET_1,1223,2029.3,631.2,304,0.840,0.838,0.944,1
HET_1,1224,2026.8,1572.7,346,0.868,0.612,0.948,1
HET_1,1225,2034.9,2066.1,393,0.474,0.912,0.703,0
HET_1,1226,2029.7,2690.9,253,0.764,0.842,0.913,0
HET_1,1227,2029.4,2392.1,290,0.768,0.628,0.890,0
HET_1,1228,2035.8,2147.8,467,0.749,0.795,0.917,0
HET_1,1229,2033.7,2470.4,325,0.735,0.794,0.898,0
HET_1,1230,2037.4,434.5,295,0.817,0.805,0.955,0
HET_1,1231,2051.8,1242.6,613,0.418,0.936,0.688,1
HET_1,1232,2044.5,289.9,501,0.729,0.769,0.913,0
HET_1,1233,2044.0,369.4,302,0.646,0.910,0.896,1
HET_1,1234,2043.5,1557.1,376,0.778,0.675,0.910,0
HET_1,1235,2043.1,2399.5,381,0.657,0.870,0.854,3
HET_1,1236,2043.8,2653.5,140,0.907,0.767,0.940,0
HET_1,1237,2042.8,2047.0,141,0.949,0.622,0.940,0
HET_1,1238,2048.3,668.7,281,0.628,0.936,0.889,0
HET_1,1239,2053.7,74.9,539,0.769,0.649,0.920,0
HET_1,1240,2056.3,2802.7,567,0.531,0.795,0.786,0
HET_1,1241,2056.2,1948.2,468,0.650,0.866,0.903,2
HET_1,1242,2055.5,2138.0,326,0.704,0.640,0.883,1
HET_1,1243,2066.2,19.0,515,0.602,0.951,0.933,1
HET_1,1244,2059.6,2739.9,453,0.574,0.759,0.818,0
HET_1,1245,2069.6,1996.6,545,0.484,0.935,0.812,0
HET_1,1246,2057.6,776.1,416,0.639,0.909,0.879,1
HET_1,1247,2054.7,2591.6,255,0.485,0.973,0.825,1
HET_1,1248,2072.3,367.0,318,0.501,0.961,0.824,0
HET_1,1249,2056.6,1326.3,152,0.601,0.956,0.938,0
HET_1,1250,2068.0,1566.1,484,0.443,0.901,0.714,1
HET_1,1251,2064.4,2561.5,287,0.540,0.960,0.905,0
HET_1,1252,2065.1,304.7,207,0.762,0.892,0.932,0
HET_1,1253,2071.8,1430.6,346,0.761,0.788,0.918,0
HET_1,1254,2077.6,2066.0,638,0.586,0.818,0.843,0
HET_1,1255,2066.8,511.1,276,0.473,0.922,0.688,0
HET_1,1256,2072.7,1355.0,305,0.935,0.494,0.953,0
HET_1,1257,2072.8,57.6,115,0.851,0.656,0.898,0
HET_1,1258,2081.2,1817.8,271,0.647,0.906,0.858,0
HET_1,1259,2076.3,1333.9,241,0.735,0.862,0.909,1
HET_1,1260,2080.1,2481.9,322,0.640,0.931,0.907,2
HET_1,1261,2087.0,537.4,448,0.329,0.877,0.598,2
HET_1,1262,2084.1,847.9,500,0.589,0.531,0.800,3
HET_1,1263,2079.8,2145.7,181,0.643,0.930,0.883,0
HET_1,1264,2086.1,1157.4,360,0.482,0.939,0.816,1
HET_1,1265,2085.2,971.3,267,0.913,0.725,0.967,1
HET_1,1266,2099.2,340.6,998,0.636,0.822,0.875,0
HET_1,1267,2085.9,751.9,180,0.809,0.865,0.933,0
HET_1,1268,2100.8,1523.8,696,0.717,0.785,0.932,0
HET_1,1269,2103.8,2561.3,649,0.290,0.931,0.575,2
HET_1,1270,2102.2,696.8,559,0.445,0.955,0.768,1
HET_1,1271,2095.0,2041.1,177,0.941,0.711,0.947,0
HET_1,1272,2101.1,2808.6,294,0.571,0.936,0.838,1
HET_1,1273,2107.7,363.1,176,0.626,0.931,0.889,0
HET_1,1274,2103.8,1570.5,140,0.874,0.844,0.946,0
HET_1,1275,2112.5,1465.8,877,0.614,0.889,0.895,0
HET_1,1276,2107.6,1882.7,272,0.687,0.899,0.907,1
HET_1,1277,2115.7,2243.7,577,0.634,0.607,0.873,0
HET_1,1278,2117.6,228.3,202,0.501,0.955,0.871,1
HET_1,1279,2113.6,1127.6,207,0.788,0.869,0.941,0
HET_1,1280,2114.9,1865.6,391,0.497,0.863,0.756,0
HET_1,1281,2110.8,554.1,294,0.469,0.971,0.784,0
HET_1,1282,2129.8,1061.0,387,0.414,0.970,0.776,0
HET_1,1283,2123.1,408.2,445,0.495,0.872,0.750,1
HET_1,1284,2125.4,2424.5,1080,0.779,0.740,0.953,0
HET_1,1285,2123.5,276.2,294,0.578,0.919,0.838,0
HET_1,1286,2118.1,2767.1,256,0.834,0.731,0.918,1
HET_1,1287,2120.5,1593.7,137,0.888,0.683,0.972,0
HET_1,1288,2126.1,1519.0,191,0.596,0.940,0.841,0
HET_1,1289,2130.2,2810.4,260,0.501,0.898,0.781,2
HET_1,1290,2126.9,359.4,346,0.785,0.743,0.933,2
HET_1,1291,2134.3,1306.2,513,0.728,0.839,0.929,0
HET_1,1292,2132.2,1682.9,448,0.810,0.530,0.928,0
HET_1,1293,2127.8,2620.4,162,0.664,0.929,0.905,0
HET_1,1294,2145.9,1941.7,581,0.484,0.952,0.787,0
HET_1,1295,2146.2,423.6,462,0.457,0.963,0.828,3
HET_1,1296,2133.9,1751.6,309,0.518,0.931,0.833,1
HET_1,1297,2150.6,1543.7,512,0.375,0.970,0.747,0
HET_1,1298,2138.1,1874.9,296,0.599,0.937,0.853,0
HET_1,1299,2133.3,2579.7,315,0.697,0.787,0.847,1
HET_1,1300,2131.5,579.9,212,0.566,0.953,0.841,0
HET_1,1301,2134.8,682.1,170,1.008,0.636,0.971,0
HET_1,1302,2142.5,2788.4,424,0.807,0.807,0.932,0
HET_1,1303,2145.3,359.6,542,0.534,0.830,0.787,2
HET_1,1304,2147.4,296.3,388,0.606,0.912,0.851,1
HET_1,1305,2147.6,2007.6,368,0.725,0.846,0.922,1
HET_1,1306,2147.0,624.6,275,0.522,0.946,0.802,1
HET_1,1307,2148.5,1735.1,177,0.954,0.539,0.957,1
HET_1,1308,2156.0,17.2,242,0.775,0.887,0.949,0
HET_1,1309,2154.5,884.6,411,0.752,0.890,0.949,0
HET_1,1310,2152.3,2330.4,184,0.955,0.438,0.948,1
HET_1,1311,2170.3,441.3,1075,0.641,0.817,0.874,0
HET_1,1312,2156.6,2796.4,238,0.751,0.851,0.908,1
HET_1,1313,2157.1,344.2,183,0.616,0.943,0.906,0
HET_1,1314,2160.8,1390.4,197,0.683,0.872,0.864,1
HET_1,1315,2166.2,410.1,187,0.984,0.444,0.959,1
HET_1,1316,2171.8,783.6,492,0.625,0.807,0.834,2
HET_1,1317,2167.0,1921.9,172,0.980,0.561,0.977,0
HET_1,1318,2172.2,308.1,340,0.853,0.665,0.926,1
HET_1,1319,2180.0,1008.3,599,0.330,0.976,0.730,3
HET_1,1320,2167.8,702.6,315,0.722,0.914,0.955,2
HET_1,1321,2181.8,2122.4,368,0.506,0.947,0.816,2
HET_1,1322,2174.9,1308.5,311,0.936,0.447,0.960,2
HET_1,1323,2172.9,1835.2,166,0.616,0.946,0.883,0
HET_1,1324,2179.9,541.4,280,0.682,0.898,0.864,2
HET_1,1325,2179.2,1856.5,438,0.620,0.587,0.852,2
HET_1,1326,2184.7,1526.2,440,0.634,0.891,0.826,2
HET_1,1327,2188.2,1323.5,334,0.638,0.800,0.843,1
HET_1,1328,2182.6,2449.8,207,0.872,0.772,0.941,1
HET_1,1329,2191.5,1107.9,752,0.686,0.714,0.908,0
HET_1,1330,2195.1,1384.6,609,0.454,0.536,0.714,1
HET_1,1331,2190.1,1618.9,347,0.588,0.671,0.796,1
HET_1,1332,2202.5,47.9,587,0.537,0.898,0.854,0
HET_1,1333,2197.9,1957.8,350,0.551,0.919,0.862,0
HET_1,1334,2200.7,1127.4,412,0.745,0.622,0.894,1
HET_1,1335,2198.1,1881.2,462,0.524,0.932,0.806,2
HET_1,1336,2197.4,2686.9,390,0.804,0.716,0.933,3
HET_1,1337,2199.5,2448.4,246,0.577,0.889,0.815,0
HET_1,1338,2206.5,2748.5,1142,0.637,0.747,0.872,0
HET_1,1339,2206.2,380.1,324,0.653,0.847,0.837,2
HET_1,1340,2209.7,1917.3,334,0.506,0.864,0.729,0
HET_1,1341,2206.9,2281.1,377,0.867,0.584,0.945,1
HET_1,1342,2209.8,2565.7,471,0.664,0.835,0.884,0
HET_1,1343,2217.2,1615.7,496,0.579,0.905,0.829,1
HET_1,1344,2224.2,2044.4,521,0.439,0.962,0.749,1
HET_1,1345,2221.4,1401.4,380,0.700,0.899,0.931,0
HET_1,1346,2216.6,1497.2,186,0.786,0.888,0.949,0
HET_1,1347,2231.7,342.7,542,0.424,0.961,0.794,1
HET_1,1348,2235.9,1479.1,832,0.532,0.835,0.763,2
HET_1,1349,2228.1,2389.3,193,0.779,0.718,0.915,1
HET_1,1350,2235.8,460.3,403,0.794,0.849,0.931,0
HET_1,1351,2226.5,2713.1,99,0.318,0.931,0.688,0
HET_1,1352,2244.2,2252.3,551,0.457,0.930,0.751,1
HET_1,1353,2236.4,1180.9,448,0.636,0.855,0.880,0
HET_1,1354,2239.1,2736.6,345,0.830,0.698,0.943,0
HET_1,1355,2253.8,426.2,648,0.440,0.916,0.812,0
HET_1,1356,2245.8,1788.5,405,0.771,0.722,0.938,0
HET_1,1357,2239.2,1149.4,359,0.635,0.934,0.865,0
HET_1,1358,2242.7,723.9,227,0.779,0.842,0.904,0
HET_1,1359,2252.1,2402.5,433,0.470,0.956,0.817,0
HET_1,1360,2252.3,1193.9,359,0.651,0.921,0.907,0
HET_1,1361,2246.5,2305.0,365,0.762,0.786,0.886,2
HET_1,1362,2251.7,1707.8,312,0.676,0.641,0.850,2
HET_1,1363,2272.8,1042.8,953,0.483,0.688,0.755,0
HET_1,1364,2260.7,2292.2,238,0.745,0.896,0.926,0
HET_1,1365,2267.0,1778.2,270,0.625,0.937,0.897,2
HET_1,1366,2278.0,1364.1,1045,0.391,0.933,0.694,3
HET_1,1367,2259.4,1569.0,121,0.932,0.633,0.931,0
HET_1,1368,2266.9,1551.8,198,0.852,0.672,0.934,0
HET_1,1369,2267.3,2159.0,448,0.630,0.765,0.896,2
HET_1,1370,2287.5,1164.3,1542,0.659,0.785,0.884,3
HET_1,1371,2278.2,451.0,594,0.799,0.805,0.950,0
HET_1,1372,2269.2,1791.0,214,0.869,0.670,0.911,0
HET_1,1373,2279.8,1095.6,766,0.883,0.488,0.955,0
HET_1,1374,2287.8,1886.4,625,0.504,0.871,0.754,1
HET_1,1375,2292.9,2081.5,617,0.427,0.915,0.686,1
HET_1,1376,2282.2,1557.7,345,0.684,0.614,0.841,0
HET_1,1377,2276.5,2274.5,173,0.898,0.774,0.956,0
HET_1,1378,2280.6,1533.0,152,0.819,0.872,0.944,0
HET_1,1379,2283.5,502.6,51,0.394,0.959,0.226,3
HET_1,1380,2292.9,660.9,469,0.600,0.810,0.821,0
HET_1,1381,2287.1,2625.2,311,0.578,0.753,0.787,3
HET_1,1382,2288.7,978.1,859,0.614,0.866,0.845,0
HET_1,1383,2286.4,400.8,459,0.495,0.956,0.839,0
HET_1,1384,2292.9,2009.0,752,0.545,0.902,0.847,4
HET_1,1385,2288.0,2293.8,279,0.928,0.546,0.959,0
HET_1,1386,2286.9,608.6,213,0.811,0.790,0.926,1
HET_1,1387,2290.7,1842.4,540,0.603,0.878,0.857,1
HET_1,1388,2297.3,2219.7,387,0.675,0.796,0.856,0
HET_1,1389,2297.2,2684.3,273,0.846,0.725,0.925,0
HET_1,1390,2300.0,1490.2,371,0.650,0.601,0.826,0
HET_1,1391,2292.3,2667.8,242,0.827,0.817,0.938,2
HET_1,1392,2306.3,1181.9,559,0.842,0.685,0.956,0
HET_1,1393,2301.0,532.5,331,0.695,0.825,0.878,1
HET_1,1394,2303.7,1100.8,448,0.852,0.425,0.937,1
HET_1,1395,2299.3,412.1,82,1.067,0.463,0.988,1
HET_1,1396,2306.1,2592.7,185,0.944,0.257,0.939,1
HET_1,1397,2306.9,1690.9,169,0.798,0.852,0.934,2
HET_1,1398,2312.0,1468.9,487,0.787,0.743,0.924,1
HET_1,1399,2319.5,1614.6,392,0.592,0.902,0.789,1
HET_1,1400,2313.9,2295.7,522,0.592,0.897,0.846,0
HET_1,1401,2317.0,1406.4,322,0.813,0.811,0.944,1
HET_1,1402,2315.6,799.8,354,0.711,0.892,0.910,2
HET_1,1403,2331.1,1723.6,519,0.532,0.888,0.796,2
HET_1,1404,2316.9,2264.7,164,0.863,0.669,0.953,0
HET_1,1405,2323.4,361.8,263,0.794,0.829,0.926,2
HET_1,1406,2328.0,1640.0,470,0.724,0.762,0.904,0
HET_1,1407,2323.0,2213.0,305,0.860,0.645,0.950,3
HET_1,1408,2327.0,824.0,447,0.754,0.809,0.920,0
HET_1,1409,2324.2,33.9,282,0.762,0.849,0.925,0
HET_1,1410,2325.6,693.5,193,0.722,0.930,0.937,0
HET_1,1411,2343.8,1063.9,1132,0.330,0.977,0.711,0
HET_1,1412,2326.9,1695.0,361,0.888,0.689,0.965,0
HET_1,1413,2330.6,2392.0,358,0.673,0.921,0.918,2
HET_1,1414,2322.7,1834.1,93,0.956,0.784,0.969,0
HET_1,1415,2336.8,1210.0,463,0.585,0.840,0.874,0
HET_1,1416,2334.0,1661.2,371,0.624,0.911,0.881,0
HET_1,1417,2327.8,2074.4,282,0.685,0.866,0.873,0
HET_1,1418,2338.9,2199.5,507,0.570,0.796,0.793,0
HET_1,1419,2336.6,2484.0,264,0.631,0.730,0.798,0
HET_1,1420,2343.1,1391.7,732,0.495,0.895,0.777,0
HET_1,1421,2346.7,871.7,345,0.554,0.921,0.825,0
HET_1,1422,2343.1,1949.7,649,0.917,0.559,0.966,0
HET_1,1423,2362.5,1916.5,521,0.408,0.970,0.718,1
HET_1,1424,2349.4,343.8,248,0.840,0.746,0.939,0
HET_1,1425,2352.3,2583.5,367,0.544,0.935,0.870,2
HET_1,1426,2364.2,1633.7,828,0.397,0.917,0.687,0
HET_1,1427,2355.8,2406.9,505,0.843,0.705,0.944,0
HET_1,1428,2355.4,2504.4,400,0.542,0.944,0.815,2
HET_1,1429,2351.3,300.8,261,0.855,0.772,0.942,0
HET_1,1430,2355.0,1262.0,211,0.494,0.964,0.834,0
HET_1,1431,2353.2,1292.6,286,0.629,0.910,0.877,1
HET_1,1432,2360.3,1196.9,479,0.638,0.816,0.823,4
HET_1,1433,2354.8,183.3,339,0.956,0.550,0.969,0
HET_1,1434,2359.0,1544.2,708,0.855,0.654,0.966,0
HET_1,1435,2378.7,644.9,817,0.337,0.971,0.667,2
HET_1,1436,2364.3,1442.9,205,0.874,0.690,0.923,0
HET_1,1437,2367.5,995.4,200,0.787,0.852,0.935,1
HET_1,1438,2370.4,2252.9,377,0.565,0.771,0.785,1
HET_1,1439,2376.6,1320.1,431,0.644,0.900,0.883,2
HET_1,1440,2376.5,1557.7,462,0.788,0.396,0.931,0
HET_1,1441,2371.7,1736.1,427,0.801,0.776,0.920,0
HET_1,1442,2367.1,2566.0,217,0.472,0.962,0.828,0
HET_1,1443,2384.1,703.7,791,0.320,0.943,0.573,0
HET_1,1444,2377.5,611.5,471,0.767,0.732,0.906,1
HET_1,1445,2385.2,1442.4,550,0.657,0.820,0.884,1
HET_1,1446,2382.7,2110.8,249,0.644,0.926,0.889,1
HET_1,1447,2382.2,513.4,615,0.578,0.864,0.836,0
HET_1,1448,2389.7,853.6,625,0.371,0.983,0.807,0
HET_1,1449,2391.3,2017.0,688,0.686,0.532,0.888,0
HET_1,1450,2384.2,481.8,307,0.620,0.913,0.895,1
HET_1,1451,2383.8,68.5,218,0.797,0.870,0.948,0
HET_1,1452,2391.9,980.7,340,0.427,0.968,0.804,0
HET_1,1453,2396.6,1919.2,375,0.531,0.861,0.762,0
HET_1,1454,2399.0,1599.7,260,0.865,0.499,0.942,1
HET_1,1455,2412.5,2379.1,418,0.508,0.961,0.887,3
HET_1,1456,2403.8,387.7,327,0.735,0.819,0.867,2
HET_1,1457,2401.1,338.6,202,0.712,0.873,0.914,0
HET_1,1458,2402.2,1706.6,182,0.765,0.879,0.919,0
HET_1,1459,2411.4,1168.9,544,0.634,0.785,0.840,1
HET_1,1460,2410.8,1661.3,429,0.761,0.786,0.921,1
HET_1,1461,2415.1,880.4,540,0.497,0.796,0.775,1
HET_1,1462,2406.5,1436.6,162,0.877,0.744,0.926,0
HET_1,1463,2414.3,606.1,479,0.601,0.711,0.826,1
HET_1,1464,2419.4,1098.7,789,0.779,0.390,0.922,0
HET_1,1465,2415.3,2319.6,190,0.665,0.915,0.888,0
HET_1,1466,2421.5,969.3,893,0.684,0.901,0.942,0
HET_1,1467,2417.2,1604.2,462,0.706,0.466,0.872,0
HET_1,1468,2420.5,1717.6,509,0.649,0.870,0.893,1
HET_1,1469,2431.1,507.9,677,0.384,0.879,0.643,1
HET_1,1470,2430.6,723.0,518,0.669,0.470,0.846,1
HET_1,1471,2422.0,2186.1,451,0.639,0.922,0.911,0
HET_1,1472,2432.4,2417.5,489,0.436,0.971,0.795,2
HET_1,1473,2422.9,1740.1,166,0.913,0.593,0.943,0
HET_1,1474,2431.8,747.0,466,0.808,0.463,0.930,0
HET_1,1475,2429.2,2491.4,470,0.550,0.957,0.880,1
HET_1,1476,2450.1,470.6,767,0.457,0.907,0.852,0
HET_1,1477,2435.9,1246.8,198,0.811,0.809,0.921,1
HET_1,1478,2441.8,600.5,754,0.437,0.838,0.699,1
HET_1,1479,2440.1,1544.0,136,0.713,0.912,0.913,0
HET_1,1480,2446.4,1951.2,390,0.711,0.792,0.920,2
HET_1,1481,2440.8,2198.5,317,0.542,0.962,0.906,0
HET_1,1482,2449.1,415.5,499,0.720,0.787,0.916,1
HET_1,1483,2454.1,2342.5,419,0.559,0.880,0.807,1
HET_1,1484,2452.9,2248.3,254,0.855,0.751,0.951,1
HET_1,1485,2458.3,175.5,294,0.738,0.534,0.878,1
HET_1,1486,2458.0,1132.6,518,0.677,0.903,0.907,0
HET_1,1487,2473.0,985.2,640,0.549,0.927,0.860,0
